Name,Area_code,Descriptio,File_name,Number,Number0,Polygon_id,Unit_id,Code,Hectares,Area,Type_code,Descript0,Type_cod0,Descript1,Longitude,Latitude
Ewerby and Evedon CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,235,1168,46362,5634,E04005803,"1,973.447",0,AA,CIVIL ADMINISTRATION AREA,,,"511,821.75","348,137.35"
"Cranwell, Brauncewell and Byard's Leap CP",CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,236,1169,124876,5692,E04012155,"2,215.475",0,AA,CIVIL ADMINISTRATION AREA,,,"502,158.6","351,011.6"
Leasingham CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,237,1170,46320,5682,E04005811,843.763,0,AA,CIVIL ADMINISTRATION AREA,,,"506,803.85","348,500.05"
Scopwick CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,238,1171,46325,5687,E04005828,"1,611.703",0,AA,CIVIL ADMINISTRATION AREA,,,"506,640.4","358,111.8"
Ruskington CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,239,1173,46322,5684,E04005827,"1,598.795",0,AA,CIVIL ADMINISTRATION AREA,,,"509,458.7","351,255.5"
Dorrington CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,240,1174,46446,5540,E04005800,799.87,0,AA,CIVIL ADMINISTRATION AREA,,,"510,309.8","353,122.2"
Anwick CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,241,1175,46361,5633,E04005776,814.361,0,AA,CIVIL ADMINISTRATION AREA,,,"512,554.25","350,786.65"
Digby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,242,1176,46445,5539,E04005797,"1,008.185",0,AA,CIVIL ADMINISTRATION AREA,,,"510,071.45","354,794.4"
Rowston CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,243,1177,46444,5538,E04005825,761.676,0,AA,CIVIL ADMINISTRATION AREA,,,"508,247.05","356,474.4"
Walcott CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,244,1178,46571,5397,E04005845,981.957,0,AA,CIVIL ADMINISTRATION AREA,,,"514,268.05","356,761.85"
Little Hale CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,266,1179,46365,5637,E04005812,"1,007.567",0,AA,CIVIL ADMINISTRATION AREA,,,"515,792.6","340,452.1"
Great Hale CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,267,1180,46575,5401,E04005804,"1,497.193",0,AA,CIVIL ADMINISTRATION AREA,,,"516,822.75","342,690.9"
Heckington CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,273,1181,46574,5400,E04005806,"2,141.422",0,AA,CIVIL ADMINISTRATION AREA,,,"516,643.65","345,037.4"
North Kyme CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,275,1182,46358,5630,E04005819,"1,492.323",0,AA,CIVIL ADMINISTRATION AREA,,,"516,377.75",352777
Billinghay CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,276,1183,46568,5394,E04005784,"1,404.188",0,AA,CIVIL ADMINISTRATION AREA,,,"514,582.965","355,042.1"
Dogdyke CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,277,1184,45854,5312,E04005799,825.159,0,AA,CIVIL ADMINISTRATION AREA,,,"519,193.5","355,700.45"
Norton Disney CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,289,1185,46135,5854,E04005822,948.855,0,AA,CIVIL ADMINISTRATION AREA,,,"487,902.85","359,688.4"
Bassingham CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,290,1186,46202,5743,E04005782,"1,236.199",0,AA,CIVIL ADMINISTRATION AREA,,,"492,418.95","359,041.8"
Thurlby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,291,1187,46178,5808,E04005841,431.431,0,AA,CIVIL ADMINISTRATION AREA,,,"490,441.742","361,528.8"
Boothby Graffoe CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,292,1188,46261,5713,E04005786,843.217,0,AA,CIVIL ADMINISTRATION AREA,,,"494,475.887","359,476.5"
Coleby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,293,1189,46259,5711,E04005794,"1,116.588",0,AA,CIVIL ADMINISTRATION AREA,,,"497,679.1","360,581.9"
Aubourn with Haddington CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,294,1190,46290,5741,E04012154,"1,105.136",0,AA,CIVIL ADMINISTRATION AREA,,,"492,462.55","362,896.35"
Doddington and Whisby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,295,1191,124875,5843,E04012156,"1,655.075",0,AA,CIVIL ADMINISTRATION AREA,,,"490,418.3","369,408.3"
Canwick CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,300,1193,46263,5715,E04005792,664.509,0,AA,CIVIL ADMINISTRATION AREA,,,"499,456.45","368,784.05"
Martin CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,301,1194,46572,5398,E04005813,"1,527.876",0,AA,CIVIL ADMINISTRATION AREA,,,"513,499.35","361,159.2"
Washingborough CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,303,1196,46273,5724,E04005846,"1,060.131",0,AA,CIVIL ADMINISTRATION AREA,,,"501,491.238","369,879.65"
Branston and Mere CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,304,1197,46434,5528,E04005788,"2,860.238",0,AA,CIVIL ADMINISTRATION AREA,,,"505,025.45","367,702.7"
Heighington CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,305,1198,46436,5530,E04005807,"1,003.422",0,AA,CIVIL ADMINISTRATION AREA,,,"505,659.9","369,413.45"
Skellingthorpe CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,306,1200,46117,5837,E04005831,"1,327.041",0,AA,CIVIL ADMINISTRATION AREA,,,"492,714.15","372,086.5"
Beckingham CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,483,1201,46206,5747,E04005783,794.386,0,AA,CIVIL ADMINISTRATION AREA,,,"488,027.65","353,083.4"
Stapleford CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,484,1202,46205,5746,E04005835,"1,102.07",0,AA,CIVIL ADMINISTRATION AREA,,,"487,233.1","356,644.1"
Culverthorpe and Kelby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,497,1203,46311,5673,E04005796,790.54,0,AA,CIVIL ADMINISTRATION AREA,,,501664,"341,157.35"
Newton and Haceby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,500,1204,46462,5556,E04005816,836.906,0,AA,CIVIL ADMINISTRATION AREA,,,"504,387.75","336,125.3"
Osbournby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,501,1205,46459,5553,E04005823,596.266,0,AA,CIVIL ADMINISTRATION AREA,,,"507,474.8","337,967.7"
Aunsby and Dembleby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,502,1206,46461,5555,E04005781,"1,189.877",0,AA,CIVIL ADMINISTRATION AREA,,,"504,208.3","338,708.8"
Scredington CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,503,1207,46450,5544,E04005829,"1,064.436",0,AA,CIVIL ADMINISTRATION AREA,,,"510,146.15","340,538.6"
Helpringham CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,504,1208,46364,5636,E04005808,"1,379.993",0,AA,CIVIL ADMINISTRATION AREA,,,"514,874.4","339,320.25"
Burton Pedwardine CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,505,1209,46363,5635,E04005791,767.605,0,AA,CIVIL ADMINISTRATION AREA,,,"510,607.6","342,720.55"
North Rauceby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,507,1210,46329,5691,E04005820,"1,299.38",0,AA,CIVIL ADMINISTRATION AREA,,,"501,339.6","347,220.95"
Carlton-le-Moorland CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,508,1211,45803,5948,E04005793,912.145,0,AA,CIVIL ADMINISTRATION AREA,,,"491,225.65","357,376.7"
Roxholm CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,510,1213,46145,5864,E04005826,378.372,0,AA,CIVIL ADMINISTRATION AREA,,,"505,567.6","350,466.15"
Asgarby and Howell CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,511,1214,46146,5865,E04005777,936.247,0,AA,CIVIL ADMINISTRATION AREA,,,"514,047.2","346,533.35"
Ashby De La Launde and Bloxholm CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,512,1215,46323,5685,E04005778,"1,660.671",0,AA,CIVIL ADMINISTRATION AREA,,,"504,767.8","354,079.65"
South Kyme CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,517,1216,46357,5629,E04005833,"1,993.827",0,AA,CIVIL ADMINISTRATION AREA,,,"517,952.35","349,372.75"
Swinderby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,523,1217,46177,5807,E04005837,854.029,0,AA,CIVIL ADMINISTRATION AREA,,,"487,253.5","362,838.7"
Witham St. Hughs CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,524,1218,116222,41585,E04005850,415.491,0,AA,CIVIL ADMINISTRATION AREA,,,"488,460.8","362,248.35"
North Scarle CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,525,1219,46134,5853,E04005821,817.398,0,AA,CIVIL ADMINISTRATION AREA,,,"484,919.2","367,105.5"
Eagle and Swinethorpe CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,526,1220,46132,5851,E04005802,"1,478.964",0,AA,CIVIL ADMINISTRATION AREA,,,"487,503.6","367,110.75"
Thorpe on the Hill CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,536,1221,124879,5850,E04012159,807.848,0,AA,CIVIL ADMINISTRATION AREA,,,"490,139.15","364,982.65"
South Hykeham CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,537,1222,124877,44393,E04012158,651.268,0,AA,CIVIL ADMINISTRATION AREA,,,"493,560.75","364,774.7"
Harmston CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,538,1223,46260,5712,E04005805,"1,042.981",0,AA,CIVIL ADMINISTRATION AREA,,,"497,782.45","362,515.7"
Waddington CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,539,1224,46141,5860,E04005843,"1,342.485",0,AA,CIVIL ADMINISTRATION AREA,,,"497,952.5","364,586.45"
North Hykeham CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,540,1225,124878,5846,E04012157,955.697,0,AA,CIVIL ADMINISTRATION AREA,,,"493,904.2","366,601.05"
Bracebridge Heath CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,549,1227,46180,5810,E04005787,489.832,0,AA,CIVIL ADMINISTRATION AREA,,,"498,270.4","367,590.85"
Friskney CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,94,1237,46598,5422,E04005636,"6,028.179","2,328.771",AA,CIVIL ADMINISTRATION AREA,,,"549,049.75","352,631.3"
Wainfleet St. Mary CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,95,1238,46044,5187,E04005754,"4,906.407","1,433.135",AA,CIVIL ADMINISTRATION AREA,,,"549,756.75","355,772.1"
Willoughby with Sloothby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,145,1249,46056,5199,E04005766,"2,082.326",0,AA,CIVIL ADMINISTRATION AREA,,,"548,827.3","370,878.65"
Calcethorpe with Kelstern CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,151,1253,46518,5432,E04005612,"1,509.259",0,AA,CIVIL ADMINISTRATION AREA,,,"525,390.65","390,560.4"
Mablethorpe and Sutton CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,160,1259,116480,5231,E04005686,"2,854.71",233.139,AA,CIVIL ADMINISTRATION AREA,,,"550,257.35",383761
North Somercotes CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,162,1261,46004,5236,E04005704,"3,369.84",561.921,AA,CIVIL ADMINISTRATION AREA,,,"542,323.65","397,670.05"
Wildmore CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,278,1262,45847,5305,E04005765,"1,936.855",0,AA,CIVIL ADMINISTRATION AREA,,,"524,466.45","353,000.9"
Langriville CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,279,1263,45845,5303,E04005673,"1,226.363",0,AA,CIVIL ADMINISTRATION AREA,,,"527,345.65","349,616.7"
Thornton Le Fen CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,280,1264,45841,5299,E04005744,674.334,0,AA,CIVIL ADMINISTRATION AREA,,,"527,975.9","352,234.45"
Coningsby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,281,1265,45865,5323,E04005619,"1,466.504",0,AA,CIVIL ADMINISTRATION AREA,,,"523,208.75","356,172.85"
Frithville and Westville CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,284,1266,121242,5298,E04005775,"3,016.261",0,AA,CIVIL ADMINISTRATION AREA,,,"529,500.32","351,593.75"
Carrington CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,285,1267,45843,5301,E04005614,"1,649.844",0,AA,CIVIL ADMINISTRATION AREA,,,"530,773.3","355,116.85"
Sibsey CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,286,1269,45917,5286,E04005718,"2,216.504",0,AA,CIVIL ADMINISTRATION AREA,,,"534,622.45","351,002.5"
Woodhall Spa CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,368,1270,46567,5393,E04005770,"1,342.196",0,AA,CIVIL ADMINISTRATION AREA,,,"519,643.65","362,524.45"
Tumby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,370,1272,45862,5320,E04005748,"1,614.051",0,AA,CIVIL ADMINISTRATION AREA,,,"525,439.85",358865
Stixwould and Woodhall CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,371,1273,46566,5392,E04005733,"2,018.858",0,AA,CIVIL ADMINISTRATION AREA,,,"518,939.55","366,050.65"
Bucknall CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,372,1274,46477,5481,E04005608,"1,027.407",0,AA,CIVIL ADMINISTRATION AREA,,,"516,829.8","368,553.7"
Horsington CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,373,1275,46565,5391,E04005666,"1,057.971",0,AA,CIVIL ADMINISTRATION AREA,,,"518,432.25",367937
Roughton CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,374,1276,45860,5318,E04005714,"1,405.848",0,AA,CIVIL ADMINISTRATION AREA,,,"523,421.25","366,125.05"
West Fen CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,375,1277,45896,5264,E04005762,826.49,0,AA,CIVIL ADMINISTRATION AREA,,,"532,277.6","357,857.75"
Revesby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,376,1278,45895,5263,E04005712,"2,253.85",0,AA,CIVIL ADMINISTRATION AREA,,,529612,"360,335.9"
East Kirkby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,377,1279,45915,5283,E04005629,"1,168.571",0,AA,CIVIL ADMINISTRATION AREA,,,"533,255.4","361,870.3"
New Leake CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,378,1280,45900,5268,E04005700,"1,433.523",0,AA,CIVIL ADMINISTRATION AREA,,,"539,420.892","357,570.75"
Stickford CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,380,1282,45916,5284,E04005731,943.275,0,AA,CIVIL ADMINISTRATION AREA,,,"536,361.8","359,749.05"
Eastville CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,381,1283,45912,5280,E04005630,"1,108.058",0,AA,CIVIL ADMINISTRATION AREA,,,"541,452.75","357,658.85"
West Keal CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,382,1284,45913,5281,E04005763,810.243,0,AA,CIVIL ADMINISTRATION AREA,,,"536,158.05","362,905.6"
Toynton St. Peter CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,383,1285,45987,5220,E04005747,650.563,0,AA,CIVIL ADMINISTRATION AREA,,,"540,570.1","362,480.05"
Lusby with Winceby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,384,1286,45891,5259,E04005685,"1,029.272",0,AA,CIVIL ADMINISTRATION AREA,,,"533,265.65","367,630.95"
Halton Holegate CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,385,1287,45799,5947,E04005654,852.592,0,AA,CIVIL ADMINISTRATION AREA,,,"542,012.4","363,791.75"
Baumber CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,386,1288,46563,5389,E04005597,"1,360.053",0,AA,CIVIL ADMINISTRATION AREA,,,"520,721.65","374,087.5"
Edlington with Wispington CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,387,1289,46561,5387,E04005631,"1,212.852",0,AA,CIVIL ADMINISTRATION AREA,,,"522,116.05","371,865.3"
Sotby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,389,1291,46552,5466,E04005722,666.172,0,AA,CIVIL ADMINISTRATION AREA,,,"520,037.6","378,572.9"
South Willingham CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,390,1292,46557,5471,E04005727,826.671,0,AA,CIVIL ADMINISTRATION AREA,,,"520,442.85","383,836.85"
Goulceby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,391,1293,46642,5378,E04005642,474.573,0,AA,CIVIL ADMINISTRATION AREA,,,"525,344.45","378,868.65"
Asterby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,392,1294,46641,5377,E04005594,446.979,0,AA,CIVIL ADMINISTRATION AREA,,,"526,274.25","378,713.45"
Scamblesby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,393,1295,46516,5430,E04005716,"1,087.394",0,AA,CIVIL ADMINISTRATION AREA,,,"527,936.05","378,796.7"
Greetham with Somersby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,394,1296,45870,5328,E04005648,"1,680.369",0,AA,CIVIL ADMINISTRATION AREA,,,"532,616.4","371,747.45"
Tetford CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,395,1297,46018,5249,E04005739,"1,139.817",0,AA,CIVIL ADMINISTRATION AREA,,,"533,158.25","374,603.15"
South Ormsby cum Ketsby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,396,1298,46019,5250,E04005724,994.122,0,AA,CIVIL ADMINISTRATION AREA,,,"536,423.1","375,552.7"
South Thoresby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,397,1299,45994,5227,E04005726,"1,196.148",0,AA,CIVIL ADMINISTRATION AREA,,,"540,020.5","375,314.25"
Maidenwell CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,398,1300,46017,5248,E04005687,"1,856.625",0,AA,CIVIL ADMINISTRATION AREA,,,"532,377.3","378,517.2"
Tathwell CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,399,1301,46016,5247,E04005736,"1,762.254",0,AA,CIVIL ADMINISTRATION AREA,,,"531,367.1","382,103.6"
Haugham CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,400,1302,46014,5245,E04005660,772.522,0,AA,CIVIL ADMINISTRATION AREA,,,"533,593.85","381,437.85"
Legbourne CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,401,1303,46611,5347,E04005677,955.891,0,AA,CIVIL ADMINISTRATION AREA,,,"536,276.65","384,541.95"
Wainfleet All Saints CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,402,1304,46046,5189,E04005753,744.418,0,AA,CIVIL ADMINISTRATION AREA,,,"546,935.55","359,470.1"
Thorpe St. Peter CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,403,1305,46047,5190,E04005745,"1,277.336",0,AA,CIVIL ADMINISTRATION AREA,,,"546,116.35","360,806.05"
Croft CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,404,1306,46040,5183,E04005623,"2,543.043",85.193,AA,CIVIL ADMINISTRATION AREA,,,553327,361037
Welton Le Marsh CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,405,1307,46055,5198,E04005758,"1,052.113",0,AA,CIVIL ADMINISTRATION AREA,,,"547,117.1","369,043.1"
Burgh Le Marsh CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,406,1309,46039,5182,E04005609,"1,779.696",0,AA,CIVIL ADMINISTRATION AREA,,,"551,097.85","364,766.8"
Skegness CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,407,1310,46024,5167,E04005719,"1,771.776",128.462,AA,CIVIL ADMINISTRATION AREA,,,"555,694.75",364004
Orby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,410,1312,46038,5181,E04005706,830.65,0,AA,CIVIL ADMINISTRATION AREA,,,"550,285.3","367,786.6"
Addlethorpe CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,411,1313,46027,5170,E04005589,"1,088.087",0,AA,CIVIL ADMINISTRATION AREA,,,554335,"368,322.15"
Ingoldmells CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,413,1315,46029,5172,E04005669,590.168,75.556,AA,CIVIL ADMINISTRATION AREA,,,"556,523.4","368,557.85"
Hogsthorpe CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,414,1316,46033,5176,E04005663,"1,204.035",0,AA,CIVIL ADMINISTRATION AREA,,,"552,931.65","370,778.3"
Beesby with Saleby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,416,1318,45996,5229,E04005598,"1,209.154",0,AA,CIVIL ADMINISTRATION AREA,,,"545,543.6","378,919.65"
Strubby with Woodthorpe CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,417,1319,45997,5230,E04005734,842.324,0,AA,CIVIL ADMINISTRATION AREA,,,"545,009.2","381,912.95"
Withern with Stain CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,418,1320,45875,5333,E04005768,"1,475.643",0,AA,CIVIL ADMINISTRATION AREA,,,"543,876.55","382,634.35"
Anderby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,419,1321,46030,5173,E04005592,632.242,51.015,AA,CIVIL ADMINISTRATION AREA,,,"553,632.5","375,856.95"
Hainton CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,422,1323,46471,5475,E04005651,940.221,0,AA,CIVIL ADMINISTRATION AREA,,,"518,451.25","385,075.9"
Ludford CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,424,1324,46559,5473,E04005684,"1,747.086",0,AA,CIVIL ADMINISTRATION AREA,,,"520,761.65","389,314.05"
Gayton Le Wold CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,425,1325,46639,5375,E04005641,"1,074.579",0,AA,CIVIL ADMINISTRATION AREA,,,"523,521.85","385,806.55"
Binbrook CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,428,1326,46007,5238,E04005603,"2,179.897",0,AA,CIVIL ADMINISTRATION AREA,,,"522,021.45","392,880.25"
Elkington CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,430,1327,46519,5433,E04005632,"1,654.571",0,AA,CIVIL ADMINISTRATION AREA,,,"529,105.1",389488
Louth CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,431,1328,46012,5243,E04005681,"1,138.207",0,AA,CIVIL ADMINISTRATION AREA,,,"533,158.95","387,446.4"
Manby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,432,1329,46606,5342,E04005689,512.073,0,AA,CIVIL ADMINISTRATION AREA,,,"540,039.95","387,347.2"
Keddington CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,433,1330,46634,5370,E04005671,757.284,0,AA,CIVIL ADMINISTRATION AREA,,,"534,351.9","388,895.25"
North Thoresby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,436,1333,46530,5444,E04005705,"1,039.016",0,AA,CIVIL ADMINISTRATION AREA,,,"530,106.05","398,469.8"
Fulstow CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,437,1334,46523,5437,E04005638,"1,151.123",0,AA,CIVIL ADMINISTRATION AREA,,,"532,861.05","397,165.95"
South Cockerington CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,438,1335,46615,5351,E04005723,878.275,0,AA,CIVIL ADMINISTRATION AREA,,,"539,743.5","389,929.7"
South Somercotes CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,439,1336,46618,5354,E04005725,"1,069.141",0,AA,CIVIL ADMINISTRATION AREA,,,"541,753.65","393,207.9"
Grainthorpe CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,440,1337,46623,5359,E04005644,"1,775.35",0.751,AA,CIVIL ADMINISTRATION AREA,,,"537,827.85","397,228.1"
Tetney CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,442,1338,46524,5438,E04005740,"2,669.938",322.043,AA,CIVIL ADMINISTRATION AREA,,,"533,445.25","402,760.8"
Marshchapel CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,443,1339,46624,5360,E04005694,"1,659.633",273.015,AA,CIVIL ADMINISTRATION AREA,,,"537,716.25","400,209.45"
North Cotes CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,444,1340,46526,5440,E04005701,"1,432.436",402.796,AA,CIVIL ADMINISTRATION AREA,,,"536,542.75","402,006.25"
Gayton Le Marsh CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,445,1341,45883,5341,E04005640,921.814,0,AA,CIVIL ADMINISTRATION AREA,,,"543,598.65","385,343.15"
Great Carlton CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,446,1342,45882,5340,E04005645,970.831,0,AA,CIVIL ADMINISTRATION AREA,,,"543,123.3","386,680.9"
Saltfleetby CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,447,1343,45878,5336,E04005774,"2,069.685",130.385,AA,CIVIL ADMINISTRATION AREA,,,"545,126.25","390,191.4"
Theddlethorpe All Saints CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,448,1344,45877,5335,E04005741,931.592,106.886,AA,CIVIL ADMINISTRATION AREA,,,"547,107.55","388,829.6"
Tattershall CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,518,1346,45855,5313,E04005737,689.618,0,AA,CIVIL ADMINISTRATION AREA,,,"521,135.85","357,573.75"
Stickney CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,521,1347,45897,5265,E04005732,851.317,0,AA,CIVIL ADMINISTRATION AREA,,,"534,361.5","356,471.85"
Midville CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,522,1348,45898,5266,E04005696,"1,058.299",0,AA,CIVIL ADMINISTRATION AREA,,,"537,247.35","357,671.85"
Tupholme CP,CPC,Civil Parish or Community,LINCOLNSHIRE_COUNTY,554,1349,46474,5478,E04005749,728.039,0,AA,CIVIL ADMINISTRATION AREA,,,"515,009.5","369,540.6"
